a,b,c
685,0.0140,0.9860
686,0.0139,0.9861
687,0.0140,0.9860
688,0.0142,0.9858
689,0.0142,0.9858
690,0.0141,0.9859
691,0.0138,0.9862
692,0.0131,0.9869
693,0.0122,0.9878
694,0.0117,0.9883
695,0.0113,0.9887
696,0.0103,0.9897
697,0.0093,0.9907
698,0.0090,0.9910
699,0.0088,0.9912
700,0.0087,0.9913
701,0.0090,0.9910
702,0.0093,0.9907
703,0.0098,0.9902
704,0.0108,0.9892
705,0.0118,0.9882
706,0.0125,0.9875
707,0.0133,0.9867
708,0.0140,0.9860
709,0.0148,0.9852
710,0.0155,0.9845
711,0.0156,0.9844
712,0.0160,0.9840
713,0.0167,0.9833
714,0.0168,0.9832
715,0.0170,0.9830
716,0.0171,0.9829
717,0.0168,0.9832
718,0.0168,0.9832
719,0.0165,0.9835
720,0.0157,0.9843
721,0.0145,0.9855
722,0.0138,0.9862
723,0.0131,0.9869
724,0.0119,0.9881
725,0.0113,0.9887
726,0.0105,0.9895
727,0.0094,0.9906
728,0.0087,0.9913
729,0.0080,0.9920
730,0.0070,0.9930
731,0.0065,0.9935
732,0.0065,0.9935
733,0.0057,0.9943
734,0.0062,0.9938
735,0.0064,0.9936
736,0.0071,0.9929
737,0.0080,0.9920
738,0.0089,0.9911
739,0.0086,0.9914
740,0.0092,0.9908
741,0.0110,0.9890
742,0.0111,0.9889
743,0.0120,0.9880
744,0.0119,0.9881
745,0.0125,0.9875
746,0.0139,0.9861
747,0.0153,0.9847
748,0.0160,0.9840
749,0.0162,0.9838
750,0.0168,0.9832
751,0.0164,0.9836
752,0.0182,0.9818
753,0.0197,0.9803
754,0.0189,0.9811
755,0.0186,0.9814
756,0.0184,0.9816
757,0.0176,0.9824
758,0.0172,0.9828
759,0.0160,0.9840
760,0.0138,0.9862
761,0.0121,0.9879
762,0.0112,0.9888
763,0.0107,0.9893
764,0.0089,0.9911
765,0.0081,0.9919
766,0.0066,0.9934
767,0.0066,0.9934
768,0.0071,0.9929
769,0.0044,0.9956
770,0.0042,0.9958
771,0.0040,0.9960
772,0.0056,0.9944
773,0.0065,0.9935
774,0.0080,0.9920
775,0.0082,0.9918
776,0.0074,0.9926
777,0.0096,0.9904
778,0.0101,0.9899
779,0.0106,0.9894
780,0.0108,0.9892
781,0.0100,0.9900
782,0.0090,0.9910
783,0.0108,0.9892
784,0.0116,0.9884
785,0.0117,0.9883
786,0.0131,0.9869
787,0.0125,0.9875
788,0.0113,0.9887
789,0.0121,0.9879
790,0.0147,0.9853
791,0.0125,0.9875
792,0.0139,0.9861
793,0.0124,0.9876
794,0.0131,0.9869
795,0.0143,0.9857
796,0.0130,0.9870
797,0.0122,0.9878
798,0.0097,0.9903
799,0.0105,0.9895
800,0.0092,0.9908
801,0.0091,0.9909
802,0.0097,0.9903
803,0.0103,0.9897
804,0.0136,0.9864
805,0.0143,0.9857
806,0.0138,0.9862
807,0.0120,0.9880
808,0.0101,0.9899
809,0.0112,0.9888
810,0.0085,0.9915
811,0.0065,0.9935
812,0.0040,0.9960
813,0.0052,0.9948
814,0.0070,0.9930
815,0.0092,0.9908
816,0.0124,0.9876
817,0.0144,0.9856
818,0.0169,0.9831
819,0.0182,0.9818
820,0.0227,0.9773
821,0.0238,0.9762
822,0.0251,0.9749
823,0.0262,0.9738
824,0.0235,0.9765
825,0.0225,0.9775
826,0.0239,0.9761
827,0.0264,0.9736
828,0.0251,0.9749
829,0.0264,0.9736
830,0.0262,0.9738
831,0.0234,0.9766
832,0.0274,0.9726
833,0.0278,0.9722
834,0.0289,0.9711
835,0.0261,0.9739
836,0.0237,0.9763
837,0.0220,0.9780
838,0.0212,0.9788
839,0.0228,0.9772
840,0.0220,0.9780
841,0.0206,0.9794
842,0.0153,0.9847
843,0.0136,0.9864
844,0.0128,0.9872
845,0.0111,0.9889
846,0.0122,0.9878
847,0.0115,0.9885
848,0.0108,0.9892
849,0.0143,0.9857
850,0.0176,0.9824
851,0.0178,0.9822
852,0.0184,0.9816
853,0.0174,0.9826
854,0.0190,0.9810
855,0.0202,0.9798
856,0.0232,0.9768
857,0.0207,0.9793
858,0.0211,0.9789
859,0.0217,0.9783
860,0.0224,0.9776
861,0.0232,0.9768
862,0.0197,0.9803
863,0.0135,0.9865
864,0.0108,0.9892
865,0.0082,0.9918
866,0.0041,0.9959
867,0.0032,0.9968
868,-0.0008,1.0008
869,-0.0016,1.0016
870,-0.0026,1.0026
871,0.0048,0.9952
872,0.0061,0.9939
873,0.0049,0.9951
874,0.0056,0.9944
875,0.0085,0.9915
876,0.0111,0.9889
877,0.0109,0.9891
878,0.0100,0.9900
879,0.0081,0.9919
880,0.0057,0.9943
881,0.0101,0.9899
882,0.0101,0.9899
883,0.0052,0.9948
884,0.0052,0.9948
885,0.0050,0.9950
886,0.0070,0.9930
887,0.0052,0.9948
888,0.0042,0.9958
889,0.0034,0.9966
890,0.0012,0.9988
891,0.0037,0.9963
892,0.0050,0.9950
893,0.0050,0.9950
894,0.0032,0.9968
895,0.0038,0.9962
896,0.0031,0.9969
897,0.0032,0.9968
898,0.0044,0.9956
899,0.0037,0.9963
900,0.0038,0.9962
901,0.0036,0.9964
902,0.0063,0.9937
903,0.0071,0.9929
904,0.0088,0.9912
905,0.0082,0.9918
906,0.0085,0.9915
907,0.0099,0.9901
908,0.0103,0.9897
909,0.0108,0.9892
910,0.0086,0.9914
911,0.0083,0.9917
912,0.0084,0.9916
913,0.0082,0.9918
914,0.0098,0.9902
915,0.0100,0.9900
916,0.0097,0.9903
917,0.0105,0.9895
918,0.0123,0.9877
919,0.0135,0.9865
920,0.0131,0.9869
921,0.0140,0.9860
922,0.0138,0.9862
923,0.0151,0.9849
924,0.0151,0.9849
925,0.0154,0.9846
926,0.0145,0.9855
927,0.0142,0.9858
928,0.0139,0.9861
929,0.0143,0.9857
930,0.0148,0.9852
931,0.0136,0.9864
932,0.0132,0.9868
933,0.0132,0.9868
934,0.0146,0.9854
935,0.0145,0.9855
936,0.0151,0.9849
937,0.0144,0.9856
938,0.0131,0.9869
939,0.0137,0.9863
940,0.0140,0.9860
941,0.0145,0.9855
942,0.0136,0.9864
943,0.0137,0.9863
944,0.0133,0.9867
945,0.0138,0.9862
946,0.0140,0.9860
947,0.0127,0.9873
948,0.0125,0.9875
949,0.0116,0.9884
950,0.0105,0.9895
951,0.0094,0.9906
952,0.0091,0.9909
953,0.0083,0.9917
954,0.0074,0.9926
955,0.0074,0.9926
956,0.0064,0.9936
957,0.0050,0.9950
958,0.0050,0.9950
959,0.0050,0.9950
960,0.0042,0.9958
961,0.0038,0.9962
962,0.0037,0.9963
963,0.0030,0.9970
964,0.0025,0.9975
965,0.0034,0.9966
966,0.0039,0.9961
967,0.0034,0.9966
968,0.0037,0.9963
969,0.0035,0.9965
970,0.0038,0.9962
971,0.0044,0.9956
972,0.0050,0.9950
973,0.0047,0.9953
974,0.0047,0.9953
975,0.0053,0.9947
976,0.0053,0.9947
977,0.0058,0.9942
978,0.0059,0.9941
979,0.0058,0.9942
980,0.0062,0.9938
981,0.0066,0.9934
982,0.0067,0.9933
983,0.0066,0.9934
984,0.0072,0.9928
985,0.0076,0.9924
986,0.0081,0.9919
987,0.0082,0.9918
988,0.0089,0.9911
989,0.0085,0.9915
990,0.0096,0.9904
991,0.0097,0.9903
992,0.0097,0.9903
993,0.0096,0.9904
994,0.0097,0.9903
995,0.0099,0.9901
996,0.0101,0.9899
997,0.0104,0.9896
998,0.0098,0.9902
999,0.0098,0.9902
1000,0.0095,0.9905
1001,0.0098,0.9902
1002,0.0096,0.9904
1003,0.0098,0.9902
1004,0.0087,0.9913
1005,0.0086,0.9914
1006,0.0080,0.9920
1007,0.0082,0.9918
1008,0.0079,0.9921
1009,0.0074,0.9926
1010,0.0068,0.9932
1011,0.0064,0.9936
1012,0.0062,0.9938
1013,0.0062,0.9938
1014,0.0064,0.9936
1015,0.0068,0.9932
1016,0.0068,0.9932
1017,0.0068,0.9932
1018,0.0074,0.9926
1019,0.0074,0.9926
1020,0.0078,0.9922
1021,0.0074,0.9926
1022,0.0072,0.9928
1023,0.0063,0.9937
1024,0.0058,0.9942
1025,0.0057,0.9943
1026,0.0053,0.9947
1027,0.0055,0.9945
1028,0.0055,0.9945
1029,0.0060,0.9940
1030,0.0067,0.9933
1031,0.0074,0.9926
1032,0.0082,0.9918
