a,b
1592.00,6.2009e-15
1593.00,6.2749e-15
1594.00,6.4469e-15
1595.00,6.4799e-15
1596.00,6.5005e-15
1597.00,6.6804e-15
1598.00,6.4672e-15
1599.00,6.2730e-15
1600.00,6.4113e-15
1601.00,6.2983e-15
1602.00,6.2823e-15
1603.00,6.2224e-15
1604.00,5.9432e-15
1605.00,5.9464e-15
1606.00,5.7882e-15
1607.00,5.2641e-15
1608.00,5.1398e-15
1609.00,5.1534e-15
1610.00,5.6118e-15
1611.00,5.7713e-15
1612.00,6.1199e-15
1613.00,6.1513e-15
1614.00,6.0721e-15
1615.00,6.2315e-15
1616.00,6.4305e-15
1617.00,6.5004e-15
1618.00,6.8703e-15
1619.00,6.4536e-15
1620.00,6.0736e-15
1621.00,5.9807e-15
1622.00,5.9750e-15
1623.00,6.0503e-15
1624.00,6.1698e-15
1625.00,6.6310e-15
1626.00,6.3890e-15
1627.00,6.0777e-15
1628.00,6.1398e-15
1629.00,6.4615e-15
1630.00,6.1488e-15
1631.00,6.2012e-15
1632.00,6.1248e-15
1633.00,6.2487e-15
1634.00,6.0577e-15
1635.00,6.0742e-15
1636.00,6.6832e-15
1637.00,6.4741e-15
1638.00,6.7876e-15
1639.00,7.0177e-15
1640.00,7.2092e-15
1641.00,7.0027e-15
1642.00,6.8301e-15
1643.00,7.1047e-15
1644.00,6.9352e-15
1645.00,6.6007e-15
1646.00,6.5391e-15
1647.00,6.5047e-15
1648.00,6.5197e-15
1649.00,6.6458e-15
1650.00,6.3689e-15
1651.00,6.2620e-15
1652.00,6.3411e-15
1653.00,6.1686e-15
1654.00,6.0707e-15
1655.00,6.2676e-15
1656.00,5.8673e-15
1657.00,6.1654e-15
1658.00,5.9324e-15
1659.00,6.1594e-15
1660.00,6.2623e-15
1661.00,6.4955e-15
1662.00,6.2107e-15
1663.00,6.1760e-15
1664.00,6.4378e-15
1665.00,6.4972e-15
1666.00,6.9013e-15
1667.00,6.2930e-15
1668.00,5.7924e-15
1669.00,4.8194e-15
1670.00,4.5514e-15
1671.00,4.8749e-15
1672.00,5.3212e-15
1673.00,5.6332e-15
1674.00,5.6089e-15
1675.00,5.5318e-15
1676.00,6.1371e-15
1677.00,6.1765e-15
1678.00,6.0430e-15
1679.00,5.9743e-15
1680.00,6.1447e-15
1681.00,5.9141e-15
1682.00,5.9780e-15
1683.00,5.9156e-15
1684.00,6.0008e-15
1685.00,6.4259e-15
1686.00,6.4207e-15
1687.00,6.1067e-15
1688.00,5.7305e-15
1689.00,6.1225e-15
1690.00,6.2638e-15
1691.00,5.9204e-15
1692.00,5.8391e-15
1693.00,5.9090e-15
1694.00,5.6241e-15
1695.00,5.8425e-15
1696.00,5.9805e-15
1697.00,5.9122e-15
1698.00,5.9138e-15
1699.00,5.8009e-15
1700.00,5.9434e-15
1701.00,6.3173e-15
1702.00,6.1188e-15
1703.00,5.9305e-15
1704.00,6.0811e-15
1705.00,5.9839e-15
1706.00,5.9760e-15
1707.00,5.8233e-15
1708.00,5.3872e-15
1709.00,5.3049e-15
1710.00,5.6147e-15
1711.00,5.9380e-15
1712.00,5.8291e-15
1713.00,5.7736e-15
1714.00,5.8802e-15
1715.00,5.9861e-15
1716.00,5.7520e-15
1717.00,5.5106e-15
1718.00,5.7176e-15
1719.00,5.3970e-15
1720.00,5.5917e-15
1721.00,5.4523e-15
1722.00,5.3607e-15
1723.00,5.6758e-15
1724.00,5.4423e-15
1725.00,5.8225e-15
1726.00,5.4694e-15
1727.00,5.8388e-15
1728.00,5.6698e-15
1729.00,5.7003e-15
1730.00,5.7064e-15
1731.00,5.5764e-15
1732.00,5.9667e-15
1733.00,5.7879e-15
1734.00,5.8206e-15
1735.00,5.9702e-15
1736.00,5.8012e-15
1737.00,5.8848e-15
1738.00,5.8770e-15
1739.00,5.5991e-15
1740.00,5.5631e-15
1741.00,5.4938e-15
1742.00,5.2918e-15
1743.00,5.4607e-15
1744.00,5.5606e-15
1745.00,5.7935e-15
1746.00,5.7211e-15
1747.00,5.4384e-15
1748.00,5.5410e-15
1749.00,5.7447e-15
1750.00,5.5592e-15
1751.00,5.2251e-15
1752.00,5.7948e-15
1753.00,5.6811e-15
1754.00,6.1184e-15
1755.00,5.6935e-15
1756.00,5.9496e-15
1757.00,5.5799e-15
1758.00,5.6244e-15
1759.00,5.4539e-15
1760.00,5.4571e-15
1761.00,5.5870e-15
1762.00,5.8990e-15
1763.00,5.8622e-15
1764.00,5.5112e-15
1765.00,5.5868e-15
1766.00,5.4843e-15
1767.00,5.5065e-15
1768.00,5.8048e-15
1769.00,5.9556e-15
1770.00,5.7726e-15
1771.00,5.7294e-15
1772.00,5.6643e-15
1773.00,5.5022e-15
1774.00,5.4281e-15
1775.00,5.9844e-15
1776.00,6.0329e-15
1777.00,5.8066e-15
1778.00,5.3824e-15
1779.00,5.8606e-15
1780.00,6.1534e-15
1781.00,6.2700e-15
1782.00,5.8839e-15
1783.00,5.7780e-15
1784.00,5.6343e-15
1785.00,6.1399e-15
1786.00,5.9503e-15
1787.00,5.8984e-15
1788.00,5.8527e-15
1789.00,5.5284e-15
1790.00,5.6663e-15
1791.00,5.7336e-15
1792.00,5.6063e-15
1793.00,5.6625e-15
1794.00,5.5592e-15
1795.00,5.9613e-15
1796.00,5.9843e-15
1797.00,5.5230e-15
1798.00,5.5248e-15
1799.00,5.4544e-15
1800.00,5.8058e-15
1801.00,5.8471e-15
1802.00,5.6384e-15
1803.00,5.7951e-15
1804.00,5.4828e-15
1805.00,5.5678e-15
1806.00,5.4166e-15
1807.00,5.5108e-15
1808.00,5.4053e-15
1809.00,5.5923e-15
1810.00,5.5649e-15
1811.00,5.9436e-15
1812.00,5.8425e-15
1813.00,5.8368e-15
1814.00,5.7562e-15
1815.00,5.5197e-15
1816.00,5.7768e-15
1817.00,5.6283e-15
1818.00,5.7513e-15
1819.00,5.7632e-15
1820.00,5.6593e-15
1821.00,5.9603e-15
1822.00,5.5878e-15
1823.00,5.5337e-15
1824.00,5.7234e-15
1825.00,5.6509e-15
1826.00,5.1405e-15
1827.00,5.8948e-15
1828.00,6.0569e-15
1829.00,5.7522e-15
1830.00,5.8458e-15
1831.00,5.2201e-15
1832.00,5.7288e-15
1833.00,5.5602e-15
1834.00,5.8246e-15
1835.00,5.5498e-15
1836.00,5.6304e-15
1837.00,5.6107e-15
1838.00,5.5396e-15
1839.00,5.4185e-15
1840.00,5.3660e-15
1841.00,5.1385e-15
1842.00,4.7880e-15
1843.00,5.1194e-15
1844.00,5.0108e-15
1845.00,5.0108e-15
1846.00,5.4592e-15
1847.00,5.0508e-15
1848.00,4.7202e-15
1849.00,4.6126e-15
1850.00,5.0411e-15
1851.00,5.1710e-15
1852.00,4.6715e-15
1853.00,4.4127e-15
1854.00,4.7697e-15
1855.00,4.2327e-15
1856.00,4.6452e-15
1857.00,5.4854e-15
1858.00,5.2881e-15
1859.00,5.4339e-15
1860.00,4.5295e-15
1861.00,5.0151e-15
1862.00,4.9057e-15
1863.00,4.5508e-15
1864.00,4.7712e-15
1865.00,4.7230e-15
1866.00,4.5363e-15
1867.00,4.4776e-15
1868.00,4.8745e-15
1869.00,4.9170e-15
1870.00,5.1326e-15
1871.00,4.8027e-15
1872.00,5.0526e-15
1873.00,4.9185e-15
1874.00,5.3806e-15
1875.00,4.9421e-15
1876.00,5.1480e-15
1877.00,5.3026e-15
1878.00,5.8360e-15
1879.00,5.4005e-15
1880.00,4.9664e-15
1881.00,5.1948e-15
1882.00,5.6578e-15
1883.00,5.3834e-15
1884.00,5.3714e-15
1885.00,4.9803e-15
1886.00,4.9118e-15
1887.00,4.7998e-15
1888.00,4.3868e-15
1889.00,5.2665e-15
1890.00,5.0182e-15
1891.00,5.3869e-15
1892.00,4.5571e-15
1893.00,4.4920e-15
1894.00,4.9490e-15
1895.00,5.2466e-15
1896.00,4.9938e-15
1897.00,5.1274e-15
1898.00,5.0852e-15
1899.00,5.2508e-15
1900.00,5.2682e-15
1901.00,5.1325e-15
1902.00,5.1563e-15
1903.00,4.8667e-15
1904.00,5.5017e-15
1905.00,5.3491e-15
1906.00,5.6016e-15
1907.00,6.0190e-15
1908.00,6.3089e-15
1909.00,6.7940e-15
1910.00,6.2085e-15
1911.00,5.8783e-15
1912.00,5.7141e-15
1913.00,5.6136e-15
1914.00,5.3481e-15
1915.00,5.4901e-15
1916.00,4.9341e-15
1917.00,4.9314e-15
1918.00,4.5757e-15
1919.00,5.3139e-15
1920.00,4.8695e-15
1921.00,5.4463e-15
1922.00,5.0379e-15
1923.00,4.9620e-15
1924.00,5.3118e-15
1925.00,5.1743e-15
1926.00,5.3889e-15
1927.00,4.6420e-15
1928.00,4.8090e-15
1929.00,4.4425e-15
1930.00,5.0107e-15
1931.00,4.7969e-15
1932.00,5.0922e-15
1933.00,5.5073e-15
1934.00,5.2654e-15
1935.00,5.0773e-15
1936.00,4.8004e-15
1937.00,5.1956e-15
1938.00,4.4132e-15
1939.00,4.4405e-15
1940.00,4.7382e-15
1941.00,5.1857e-15
1942.00,4.9667e-15
1943.00,4.7447e-15
1944.00,5.0185e-15
1945.00,4.3097e-15
1946.00,4.4883e-15
1947.00,5.2019e-15
1948.00,4.9413e-15
1949.00,4.6927e-15
1950.00,4.4551e-15
1951.00,4.3873e-15
1952.00,3.6375e-15
1953.00,4.1967e-15
1954.00,4.0834e-15
1955.00,4.2033e-15
1956.00,4.8787e-15
1957.00,4.8239e-15
1958.00,5.2408e-15
1959.00,4.1744e-15
1960.00,5.4385e-15
1961.00,5.1030e-15
1962.00,5.2478e-15
1963.00,4.1340e-15
1964.00,4.7722e-15
1965.00,5.1687e-15
1966.00,4.9121e-15
1967.00,5.2053e-15
1968.00,4.3298e-15
1969.00,4.7947e-15
1970.00,4.0763e-15
1971.00,4.8621e-15
1972.00,5.1474e-15
1973.00,4.7502e-15
1974.00,4.2270e-15
1975.00,5.1999e-15
1976.00,4.8863e-15
1977.00,5.8618e-15
1978.00,5.7829e-15
1979.00,5.6640e-15
1980.00,5.6962e-15
1981.00,5.5940e-15
1982.00,5.2673e-15
1983.00,4.2773e-15
1984.00,3.6827e-15
1985.00,4.7229e-15
1986.00,4.4688e-15
1987.00,3.9612e-15
1988.00,4.1230e-15
1989.00,4.6637e-15
1990.00,5.0682e-15
1991.00,3.8098e-15
1992.00,5.0764e-15
1993.00,5.1275e-15
1994.00,5.1534e-15
1995.00,5.7705e-15
1996.00,5.9627e-15
1997.00,5.1521e-15
1998.00,5.4126e-15
1999.00,5.1334e-15
2000.00,5.5133e-15
2001.00,0.0
