a,b
0.3541600,1.8776344E+002
0.3541700,1.8775813E+002
0.3541800,1.8775281E+002
0.3541900,1.8774749E+002
0.3542000,1.8774218E+002
0.3542100,1.8773686E+002
0.3542200,1.8773155E+002
0.3542300,1.8772623E+002
0.3542400,1.2039419E+003
0.3542500,1.8771560E+002
0.3542600,1.8771029E+002
0.3542700,1.8770498E+002
0.3542800,1.1014467E+003
0.3542900,1.8769435E+002
0.3543000,1.8768904E+002
0.3543100,1.8768373E+002
0.3543200,1.8767841E+002
0.3543300,1.8767310E+002
0.3543400,1.8766779E+002
0.3543500,1.8766248E+002
0.3543600,1.8765717E+002
0.3543700,1.8765186E+002
0.3543800,1.8764655E+002
0.3543900,1.8764124E+002
0.3544000,1.8763593E+002
0.3544100,1.8763062E+002
0.3544200,1.3948523E+003
0.3544300,1.8762000E+002
0.3544400,1.8761469E+002
0.3544500,1.8760938E+002
0.3544600,1.3138901E+003
0.3544700,1.8759877E+002
0.3544800,1.8759346E+002
0.3544900,1.8758815E+002
0.3545000,1.8758284E+002
0.3545100,8.6294055E+002
0.3545200,1.8757223E+002
0.3545300,1.8756693E+002
0.3545400,1.8756162E+002
0.3545500,5.8502932E+002
0.3545600,1.8755101E+002
0.3545700,1.8754570E+002
0.3545800,1.8754040E+002
0.3545900,1.8753509E+002
0.3546000,1.8752979E+002
0.3546100,1.8752449E+002
0.3546200,1.3298422E+003
0.3546300,1.8751388E+002
0.3546400,1.8750858E+002
0.3546500,1.8750327E+002
0.3546600,1.4809600E+003
0.3546700,1.8749267E+002
0.3546800,1.8748737E+002
0.3546900,1.8748207E+002
0.3547000,1.8747677E+002
0.3547100,1.8747146E+002
0.3547200,7.6157418E+002
0.3547300,1.8746086E+002
0.3547400,1.8745556E+002
0.3547500,1.8745026E+002
0.3547600,1.8744496E+002
0.3547700,1.8743967E+002
0.3547800,1.8743437E+002
0.3547900,1.4913301E+003
0.3548000,1.8742377E+002
0.3548100,1.8741847E+002
0.3548200,1.8741317E+002
0.3548300,1.8740788E+002
0.3548400,1.8740258E+002
0.3548500,1.8739728E+002
0.3548600,1.8739199E+002
0.3548700,1.8738669E+002
0.3548800,6.4389740E+002
0.3548900,1.8737610E+002
0.3549000,1.8737080E+002
0.3549100,1.8736551E+002
0.3549200,1.8736021E+002
0.3549300,1.2856669E+003
0.3549400,1.8734962E+002
0.3549500,1.8734433E+002
0.3549600,1.8733903E+002
0.3549700,1.8733374E+002
0.3549800,1.8732845E+002
0.3549900,1.8732316E+002
0.3550000,1.8731786E+002
0.3550100,1.8731257E+002
0.3550200,1.8730728E+002
0.3550300,1.1414090E+003
0.3550400,1.8729670E+002
0.3550500,1.8729140E+002
0.3550600,1.8728611E+002
0.3550700,1.8728082E+002
0.3550800,1.8727553E+002
0.3550900,1.3711153E+003
0.3551000,1.8726495E+002
0.3551100,1.8725966E+002
0.3551200,1.8725437E+002
0.3551300,1.8724909E+002
0.3551400,1.8724380E+002
0.3551500,1.8723851E+002
0.3551600,1.8723322E+002
0.3551700,1.8722793E+002
0.3551800,1.8722265E+002
0.3551900,1.8721736E+002
0.3552000,1.8721207E+002
0.3552100,1.8720678E+002
0.3552200,1.8720150E+002
0.3552300,1.8719621E+002
0.3552400,1.8719093E+002
0.3552500,1.8718564E+002
0.3552600,9.3840238E+002
0.3552700,1.8717507E+002
0.3552800,1.8716979E+002
0.3552900,1.8716450E+002
0.3553000,1.8715922E+002
0.3553100,7.6184595E+002
0.3553200,1.8714865E+002
0.3553300,1.8714337E+002
0.3553400,1.8713809E+002
0.3553500,1.8713280E+002
0.3553600,1.8712752E+002
0.3553700,1.8712224E+002
0.3553800,1.8711696E+002
0.3553900,1.4400387E+003
0.3554000,1.8710639E+002
0.3554100,1.8710111E+002
0.3554200,1.8709583E+002
0.3554300,7.7903457E+002
0.3554400,1.8708527E+002
0.3554500,1.2454720E+003
0.3554600,1.8707471E+002
0.3554700,6.5508245E+002
0.3554800,1.8706416E+002
0.3554900,1.8705888E+002
0.3555000,1.8705360E+002
0.3555100,7.9991034E+002
0.3555200,1.8704304E+002
0.3555300,1.8703777E+002
0.3555400,1.8703249E+002
0.3555500,1.2071292E+003
0.3555600,1.8702194E+002
0.3555700,1.8701666E+002
0.3555800,8.0894740E+002
0.3555900,1.8700611E+002
0.3556000,1.6059619E+003
0.3556100,1.8699556E+002
0.3556200,1.8699028E+002
0.3556300,1.8698501E+002
0.3556400,1.8697973E+002
0.3556500,1.8697446E+002
0.3556600,9.6599521E+002
0.3556700,1.8696391E+002
0.3556800,6.9049165E+002
0.3556900,1.8695337E+002
0.3557000,1.8694810E+002
0.3557100,1.8694282E+002
0.3557200,1.8693755E+002
0.3557300,1.8693228E+002
0.3557400,1.8692701E+002
0.3557500,1.8692174E+002
0.3557600,1.8691647E+002
0.3557700,1.8691120E+002
0.3557800,1.1713770E+003
0.3557900,1.8690066E+002
0.3558000,1.8689539E+002
0.3558100,9.0265714E+002
0.3558200,1.8688485E+002
0.3558300,1.4833956E+003
0.3558400,1.8687431E+002
0.3558500,1.8686904E+002
0.3558600,1.8686377E+002
0.3558700,1.8685851E+002
0.3558800,1.8685324E+002
0.3558900,7.5151399E+002
0.3559000,1.8684271E+002
0.3559100,1.8683744E+002
0.3559200,1.8683217E+002
0.3559300,1.8682691E+002
0.3559400,1.8682164E+002
0.3559500,1.8681638E+002
0.3559600,1.8681111E+002
0.3559700,1.8680585E+002
